,Combined Occupation,Best Match in Exposure Scores,Similarity Score
26,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
30,Personal service managers all other,Food Service Managers,0.4559704320039509
31,Managers all other,Sales Managers,0.3696097589298694
43,Project management specialists,Document Management Specialists,0.46431064302481045
48,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
53,Financial and investment analysts,Investment Fund Managers,0.45459915575256216
65,Software developers,Web Developers,0.4837231443921335
68,Web and digital interface designers,Web Administrators,0.3531602668650403
95,Engineers all other,Sales Engineers,0.39211122589104425
105,Life scientists all other,Animal Scientists,0.3212147287554923
111,Physical scientists all other,Physical Therapists,0.4632431824163994
119,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
126,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
137,Social workers all other,Healthcare Social Workers,0.48639868886247145
143,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
149,Legal support workers all other,Paralegals and Legal Assistants,0.3476606946283765
161,Other educational instruction and library workers,Library Technicians,0.38692021989553205
162,Artists and related workers,Craft Artists,0.4313291677916558
187,Media and communication workers all other,Media Technical Directors/Managers,0.30577552494896343
199,Surgeons,Oral and Maxillofacial Surgeons,0.4902598206633145
210,Therapists all other,Physical Therapists,0.45992982661270304
217,Healthcare diagnosing or treating practitioners all other,Healthcare Social Workers,0.3003813879322077
232,Medical records specialists,Police Identification and Records Officers,0.3782086225236512
234,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
252,Firstline supervisors of security workers,Security Guards,0.3824983996566702
253,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
267,School bus monitors,School Psychologists,0.3293755674784446
288,Other grounds maintenance workers,"Maintenance Workers, Machinery",0.40268687081442917
300,Other personal appearance workers,Personal Financial Advisors,0.30732936819011875
309,FirstLine supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
318,Sales representatives of services except advertising insurance financial services and travel,"Securities, Commodities, and Financial Services Sales Agents",0.4203369981707594
325,Sales and related workers all other,Sales Managers,0.39624120503679106
329,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
337,Financial clerks all other,Financial Managers,0.49231840009766253
354,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
409,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
417,Miscellaneous construction and related workers,Construction Managers,0.45494861804421866
442,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
452,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
472,Food processing workers all other,Food Preparation Workers,0.3955368367522605
488,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
495,Other textile apparel and furnishings workers,Fabric and Apparel Patternmakers,0.32144020192456
506,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
529,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
530,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
533,Other rail transportation workers,Rail Car Repairers,0.4631457118035026
535,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
538,Transportation service attendants,Transportation Engineers,0.4759170792793558
552,Other material moving workers,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.4807513296007664
573,Gaming managers,Sales Managers,0.3392873923474356
577,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
581,Managers all other,Sales Managers,0.3696097589298694
597,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
609,Financial specialists all other,Financial Managers,0.4781371863912042
614,Software developers applications and systems software,Software Quality Assurance Analysts and Testers,0.3467228158548382
641,Engineers all other,Sales Engineers,0.39211122589104425
649,Life scientists all other,Animal Scientists,0.3212147287554923
654,Physical scientists all other,Physical Therapists,0.4632431824163994
666,Miscellaneous life physical and social science technicians,Food Science Technicians,0.43216125105844466
674,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
679,Miscellaneous legal support workers,Paralegals and Legal Assistants,0.35858257478176275
689,Teacher assistants,Medical Assistants,0.34343876984154315
690,Other education training and library workers,Library Technicians,0.44978704971725136
691,Artists and related workers,Craft Artists,0.4313291677916558
695,Athletes coaches umpires and related workers,Coaches and Scouts,0.37496353109746194
698,Announcers,Broadcast Announcers and Radio Disc Jockeys,0.4546294286709297
704,Miscellaneous media and communication workers,Media Technical Directors/Managers,0.3138030303635681
713,Physicians and surgeons,"Physicians, Pathologists",0.4530831751408542
729,Health diagnosing and treating practitioners all other,Nurse Practitioners,0.34181459686298626
732,Diagnostic related technologists and technicians,Veterinary Technologists and Technicians,0.428687467335048
733,Emergency medical technicians and paramedics,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.4818217635081018
734,Health practitioner support technologists and technicians,Veterinary Technologists and Technicians,0.3678727810894935
736,Medical records and health information technicians,Medical and Health Services Managers,0.4304301856020409
738,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
752,Firstline supervisors of fire fighting and prevention workers,Fire-Prevention and Protection Engineers,0.45118502655288695
753,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
774,Counter attendants cafeteria food concession and coffee shop,Fast Food and Counter Workers,0.3549317596188084
786,Grounds maintenance workers,"Maintenance Workers, Machinery",0.43089861008280533
787,Firstline supervisors of gaming workers,First-Line Supervisors of Personal Service Workers,0.33832739928403077
791,Gaming services workers,Administrative Services Managers,0.4063889046906599
806,Firstline supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
815,Sales representatives services all other,Solar Sales Representatives and Assessors,0.4266971964127923
822,Sales and related workers all other,Sales Managers,0.39624120503679106
826,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
834,Financial clerks all other,Financial Managers,0.49231840009766253
851,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
904,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
937,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
947,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
961,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
967,Food processing workers all other,Food Preparation Workers,0.3955368367522605
991,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
1015,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
1039,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
1040,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
1046,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
1065,Mine shuttle car operators,Rail Car Repairers,0.3463624816612242
1067,Material moving workers all other,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.44346289082667845
1080,Farm ranch and other agricultural managers,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.4635517869110897
1087,Gaming managers,Sales Managers,0.3392873923474356
1091,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
1094,Managers all other,Sales Managers,0.3696097589298694
1118,Financial specialists all other,Financial Managers,0.4781371863912042
1121,Computer software engineers,Computer Hardware Engineers,0.4479928028246259
1125,Network systems and data communications analysts,Network and Computer Systems Administrators,0.4625499631857076
1147,Engineers all other,Sales Engineers,0.39211122589104425
1159,Physical scientists all other,Physical Therapists,0.4632431824163994
1165,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
1171,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
1177,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
1181,Miscellaneous legal support workers,Paralegals and Legal Assistants,0.35858257478176275
1191,Teacher assistants,Medical Assistants,0.34343876984154315
1192,Other education training and library workers,Library Technicians,0.44978704971725136
1193,Artists and related workers,Craft Artists,0.4313291677916558
1197,Athletes coaches umpires and related workers,Coaches and Scouts,0.37496353109746194
1200,Announcers,Broadcast Announcers and Radio Disc Jockeys,0.4546294286709297
1206,Miscellaneous media and communication workers,Media Technical Directors/Managers,0.3138030303635681
1215,Physicians and surgeons,"Physicians, Pathologists",0.4530831751408542
1226,Therapists all other,Physical Therapists,0.45992982661270304
1228,Health diagnosing and treating practitioners all other,Nurse Practitioners,0.34181459686298626
1231,Diagnostic related technologists and technicians,Veterinary Technologists and Technicians,0.428687467335048
1232,Emergency medical technicians and paramedics,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.4818217635081018
1234,Medical records and health information technicians,Medical and Health Services Managers,0.4304301856020409
1236,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
1242,Firstline supervisorsmanagers of correctional officers,First-Line Supervisors of Correctional Officers,0.49497990184290586
1244,Firstline supervisorsmanagers of fire fighting and prevention workers,Fire-Prevention and Protection Engineers,0.42525821786619233
1245,Supervisors protective service workers all other,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.4172180783649953
1246,Fire fighters,Fire Inspectors and Investigators,0.329316640240849
1265,Counter attendants cafeteria food concession and coffee shop,Fast Food and Counter Workers,0.3549317596188084
1277,Grounds maintenance workers,"Maintenance Workers, Machinery",0.43089861008280533
1278,Firstline supervisorsmanagers of personal service workers,First-Line Supervisors of Personal Service Workers,0.46925690374709983
1281,Gaming services workers,Administrative Services Managers,0.4063889046906599
1290,Child care workers,"Child, Family, and School Social Workers",0.48478138351174566
1295,Firstline supervisorsmanagers of retail sales workers,First-Line Supervisors of Retail Sales Workers,0.492682527587472
1304,Sales representatives services all other,Solar Sales Representatives and Assessors,0.4266971964127923
1311,Sales and related workers all other,Sales Managers,0.39624120503679106
1315,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
1339,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
1368,Fishers and related fishing workers,Fishing and Hunting Workers,0.4151881306224899
1392,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
1400,Miscellaneous construction and related workers,Construction Managers,0.45494861804421866
1408,Firstline supervisorsmanagers of mechanics installers and repairers,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.494955856814933
1425,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
1435,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
1449,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
1475,Job printers,"Compensation, Benefits, and Job Analysis Specialists",0.30575179207410685
1478,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
1491,Textile apparel and furnishings workers all other,Fabric and Apparel Patternmakers,0.30470446191651074
1503,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
1513,Cementing and gluing machine operators and tenders,Shoe Machine Operators and Tenders,0.3345320551451999
1526,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
1527,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
1533,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
1537,Service station attendants,Automotive and Watercraft Service Attendants,0.3733840133608312
1551,Shuttle car operators,Rail Car Repairers,0.4329445731859574
1553,Material moving workers all other,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.44346289082667845
1574,Gaming managers,Sales Managers,0.3392873923474356
1578,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
1582,Managers all other,Sales Managers,0.3696097589298694
1598,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
1610,Financial specialists all other,Financial Managers,0.4781371863912042
1615,Software developers applications and systems software,Software Quality Assurance Analysts and Testers,0.3467228158548382
1642,Engineers all other,Sales Engineers,0.39211122589104425
1650,Life scientists all other,Animal Scientists,0.3212147287554923
1655,Physical scientists all other,Physical Therapists,0.4632431824163994
1667,Miscellaneous life physical and social science technicians,Food Science Technicians,0.43216125105844466
1675,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
1680,Miscellaneous legal support workers,Paralegals and Legal Assistants,0.35858257478176275
1690,Teacher assistants,Medical Assistants,0.34343876984154315
1691,Other education training and library workers,Library Technicians,0.44978704971725136
1692,Artists and related workers,Craft Artists,0.4313291677916558
1696,Athletes coaches umpires and related workers,Coaches and Scouts,0.37496353109746194
1699,Announcers,Broadcast Announcers and Radio Disc Jockeys,0.4546294286709297
1705,Miscellaneous media and communication workers,Media Technical Directors/Managers,0.3138030303635681
1714,Physicians and surgeons,"Physicians, Pathologists",0.4530831751408542
1730,Health diagnosing and treating practitioners all other,Nurse Practitioners,0.34181459686298626
1733,Diagnostic related technologists and technicians,Veterinary Technologists and Technicians,0.428687467335048
1734,Emergency medical technicians and paramedics,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.4818217635081018
1735,Health practitioner support technologists and technicians,Veterinary Technologists and Technicians,0.3678727810894935
1737,Medical records and health information technicians,Medical and Health Services Managers,0.4304301856020409
1739,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
1753,Firstline supervisors of fire fighting and prevention workers,Fire-Prevention and Protection Engineers,0.45118502655288695
1754,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
1775,Counter attendants cafeteria food concession and coffee shop,Fast Food and Counter Workers,0.3549317596188084
1787,Grounds maintenance workers,"Maintenance Workers, Machinery",0.43089861008280533
1788,Firstline supervisors of gaming workers,First-Line Supervisors of Personal Service Workers,0.33832739928403077
1792,Gaming services workers,Administrative Services Managers,0.4063889046906599
1807,Firstline supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
1816,Sales representatives services all other,Solar Sales Representatives and Assessors,0.4266971964127923
1823,Sales and related workers all other,Sales Managers,0.39624120503679106
1827,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
1835,Financial clerks all other,Financial Managers,0.49231840009766253
1852,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
1905,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
1938,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
1948,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
1962,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
1968,Food processing workers all other,Food Preparation Workers,0.3955368367522605
1992,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
2016,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
2040,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
2041,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
2047,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
2066,Mine shuttle car operators,Rail Car Repairers,0.3463624816612242
2068,Material moving workers all other,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.44346289082667845
2095,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
2099,Personal service managers all other,Food Service Managers,0.4559704320039509
2100,Managers all other,Sales Managers,0.3696097589298694
2112,Project management specialists,Document Management Specialists,0.46431064302481045
2117,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
2122,Financial and investment analysts,Investment Fund Managers,0.45459915575256216
2134,Software developers,Web Developers,0.4837231443921335
2137,Web and digital interface designers,Web Administrators,0.3531602668650403
2164,Engineers all other,Sales Engineers,0.39211122589104425
2174,Life scientists all other,Animal Scientists,0.3212147287554923
2180,Physical scientists all other,Physical Therapists,0.4632431824163994
2188,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
2195,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
2206,Social workers all other,Healthcare Social Workers,0.48639868886247145
2212,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
2218,Legal support workers all other,Paralegals and Legal Assistants,0.3476606946283765
2230,Other educational instruction and library workers,Library Technicians,0.38692021989553205
2231,Artists and related workers,Craft Artists,0.4313291677916558
2256,Media and communication workers all other,Media Technical Directors/Managers,0.30577552494896343
2268,Surgeons,Oral and Maxillofacial Surgeons,0.4902598206633145
2279,Therapists all other,Physical Therapists,0.45992982661270304
2286,Healthcare diagnosing or treating practitioners all other,Healthcare Social Workers,0.3003813879322077
2301,Medical records specialists,Police Identification and Records Officers,0.3782086225236512
2303,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
2321,Firstline supervisors of security workers,Security Guards,0.3824983996566702
2322,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
2336,School bus monitors,School Psychologists,0.3293755674784446
2357,Other grounds maintenance workers,"Maintenance Workers, Machinery",0.40268687081442917
2369,Other personal appearance workers,Personal Financial Advisors,0.30732936819011875
2378,FirstLine supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
2387,Sales representatives of services except advertising insurance financial services and travel,"Securities, Commodities, and Financial Services Sales Agents",0.4203369981707594
2394,Sales and related workers all other,Sales Managers,0.39624120503679106
2398,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
2406,Financial clerks all other,Financial Managers,0.49231840009766253
2423,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
2478,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
2486,Miscellaneous construction and related workers,Construction Managers,0.45494861804421866
2511,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
2521,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
2541,Food processing workers all other,Food Preparation Workers,0.3955368367522605
2557,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
2564,Other textile apparel and furnishings workers,Fabric and Apparel Patternmakers,0.32144020192456
