,Combined Occupation,Best Match in Exposure Scores,Similarity Score
2575,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
2598,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
2599,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
2602,Other rail transportation workers,Rail Car Repairers,0.4631457118035026
2604,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
2607,Transportation service attendants,Transportation Engineers,0.4759170792793558
2621,Other material moving workers,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.4807513296007664
2642,Gaming managers,Sales Managers,0.3392873923474356
2646,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
2650,Managers all other,Sales Managers,0.3696097589298694
2666,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
2678,Financial specialists all other,Financial Managers,0.4781371863912042
2683,Software developers applications and systems software,Software Quality Assurance Analysts and Testers,0.3467228158548382
2710,Engineers all other,Sales Engineers,0.39211122589104425
2718,Life scientists all other,Animal Scientists,0.3212147287554923
2723,Physical scientists all other,Physical Therapists,0.4632431824163994
2735,Miscellaneous life physical and social science technicians,Food Science Technicians,0.43216125105844466
2743,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
2748,Miscellaneous legal support workers,Paralegals and Legal Assistants,0.35858257478176275
2758,Teacher assistants,Medical Assistants,0.34343876984154315
2759,Other education training and library workers,Library Technicians,0.44978704971725136
2760,Artists and related workers,Craft Artists,0.4313291677916558
2764,Athletes coaches umpires and related workers,Coaches and Scouts,0.37496353109746194
2767,Announcers,Broadcast Announcers and Radio Disc Jockeys,0.4546294286709297
2773,Miscellaneous media and communication workers,Media Technical Directors/Managers,0.3138030303635681
2782,Physicians and surgeons,"Physicians, Pathologists",0.4530831751408542
2798,Health diagnosing and treating practitioners all other,Nurse Practitioners,0.34181459686298626
2801,Diagnostic related technologists and technicians,Veterinary Technologists and Technicians,0.428687467335048
2802,Emergency medical technicians and paramedics,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.4818217635081018
2803,Health practitioner support technologists and technicians,Veterinary Technologists and Technicians,0.3678727810894935
2805,Medical records and health information technicians,Medical and Health Services Managers,0.4304301856020409
2807,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
2821,Firstline supervisors of fire fighting and prevention workers,Fire-Prevention and Protection Engineers,0.45118502655288695
2822,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
2843,Counter attendants cafeteria food concession and coffee shop,Fast Food and Counter Workers,0.3549317596188084
2855,Grounds maintenance workers,"Maintenance Workers, Machinery",0.43089861008280533
2856,Firstline supervisors of gaming workers,First-Line Supervisors of Personal Service Workers,0.33832739928403077
2860,Gaming services workers,Administrative Services Managers,0.4063889046906599
2875,Firstline supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
2884,Sales representatives services all other,Solar Sales Representatives and Assessors,0.4266971964127923
2891,Sales and related workers all other,Sales Managers,0.39624120503679106
2895,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
2903,Financial clerks all other,Financial Managers,0.49231840009766253
2920,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
2973,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
3006,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
3016,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
3030,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
3036,Food processing workers all other,Food Preparation Workers,0.3955368367522605
3060,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
3084,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
3108,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
3109,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
3115,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
3134,Mine shuttle car operators,Rail Car Repairers,0.3463624816612242
3136,Material moving workers all other,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.44346289082667845
3163,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
3167,Personal service managers all other,Food Service Managers,0.4559704320039509
3168,Managers all other,Sales Managers,0.3696097589298694
3180,Project management specialists,Document Management Specialists,0.46431064302481045
3185,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
3190,Financial and investment analysts,Investment Fund Managers,0.45459915575256216
3202,Software developers,Web Developers,0.4837231443921335
3205,Web and digital interface designers,Web Administrators,0.3531602668650403
3232,Engineers all other,Sales Engineers,0.39211122589104425
3242,Life scientists all other,Animal Scientists,0.3212147287554923
3248,Physical scientists all other,Physical Therapists,0.4632431824163994
3256,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
3263,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
3274,Social workers all other,Healthcare Social Workers,0.48639868886247145
3280,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
3286,Legal support workers all other,Paralegals and Legal Assistants,0.3476606946283765
3298,Other educational instruction and library workers,Library Technicians,0.38692021989553205
3299,Artists and related workers,Craft Artists,0.4313291677916558
3324,Media and communication workers all other,Media Technical Directors/Managers,0.30577552494896343
3336,Surgeons,Oral and Maxillofacial Surgeons,0.4902598206633145
3347,Therapists all other,Physical Therapists,0.45992982661270304
3354,Healthcare diagnosing or treating practitioners all other,Healthcare Social Workers,0.3003813879322077
3369,Medical records specialists,Police Identification and Records Officers,0.3782086225236512
3371,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
3389,Firstline supervisors of security workers,Security Guards,0.3824983996566702
3390,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
3404,School bus monitors,School Psychologists,0.3293755674784446
3425,Other grounds maintenance workers,"Maintenance Workers, Machinery",0.40268687081442917
3437,Other personal appearance workers,Personal Financial Advisors,0.30732936819011875
3446,FirstLine supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
3455,Sales representatives of services except advertising insurance financial services and travel,"Securities, Commodities, and Financial Services Sales Agents",0.4203369981707594
3462,Sales and related workers all other,Sales Managers,0.39624120503679106
3466,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
3474,Financial clerks all other,Financial Managers,0.49231840009766253
3491,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
3546,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
3554,Miscellaneous construction and related workers,Construction Managers,0.45494861804421866
3579,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
3589,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
3609,Food processing workers all other,Food Preparation Workers,0.3955368367522605
3625,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
3632,Other textile apparel and furnishings workers,Fabric and Apparel Patternmakers,0.32144020192456
3643,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
3666,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
3667,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
3670,Other rail transportation workers,Rail Car Repairers,0.4631457118035026
3672,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
3675,Transportation service attendants,Transportation Engineers,0.4759170792793558
3689,Other material moving workers,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.4807513296007664
3716,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
3720,Personal service managers all other,Food Service Managers,0.4559704320039509
3721,Managers all other,Sales Managers,0.3696097589298694
3733,Project management specialists,Document Management Specialists,0.46431064302481045
3738,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
3743,Financial and investment analysts,Investment Fund Managers,0.45459915575256216
3755,Software developers,Web Developers,0.4837231443921335
3758,Web and digital interface designers,Web Administrators,0.3531602668650403
3785,Engineers all other,Sales Engineers,0.39211122589104425
3795,Life scientists all other,Animal Scientists,0.3212147287554923
3801,Physical scientists all other,Physical Therapists,0.4632431824163994
3809,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
3816,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
3827,Social workers all other,Healthcare Social Workers,0.48639868886247145
3833,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
3839,Legal support workers all other,Paralegals and Legal Assistants,0.3476606946283765
3851,Other educational instruction and library workers,Library Technicians,0.38692021989553205
3852,Artists and related workers,Craft Artists,0.4313291677916558
3877,Media and communication workers all other,Media Technical Directors/Managers,0.30577552494896343
3889,Surgeons,Oral and Maxillofacial Surgeons,0.4902598206633145
3900,Therapists all other,Physical Therapists,0.45992982661270304
3907,Healthcare diagnosing or treating practitioners all other,Healthcare Social Workers,0.3003813879322077
3922,Medical records specialists,Police Identification and Records Officers,0.3782086225236512
3924,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
3942,Firstline supervisors of security workers,Security Guards,0.3824983996566702
3943,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
3957,School bus monitors,School Psychologists,0.3293755674784446
3978,Other grounds maintenance workers,"Maintenance Workers, Machinery",0.40268687081442917
3990,Other personal appearance workers,Personal Financial Advisors,0.30732936819011875
3999,FirstLine supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
4008,Sales representatives of services except advertising insurance financial services and travel,"Securities, Commodities, and Financial Services Sales Agents",0.4203369981707594
4015,Sales and related workers all other,Sales Managers,0.39624120503679106
4019,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
4027,Financial clerks all other,Financial Managers,0.49231840009766253
4044,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
4099,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
4107,Miscellaneous construction and related workers,Construction Managers,0.45494861804421866
4132,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
4142,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
4162,Food processing workers all other,Food Preparation Workers,0.3955368367522605
4178,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
4185,Other textile apparel and furnishings workers,Fabric and Apparel Patternmakers,0.32144020192456
4196,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
4219,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
4220,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
4223,Other rail transportation workers,Rail Car Repairers,0.4631457118035026
4225,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
4228,Transportation service attendants,Transportation Engineers,0.4759170792793558
4242,Other material moving workers,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.4807513296007664
4263,Gaming managers,Sales Managers,0.3392873923474356
4267,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
4271,Managers all other,Sales Managers,0.3696097589298694
4287,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
4299,Financial specialists all other,Financial Managers,0.4781371863912042
4304,Software developers applications and systems software,Software Quality Assurance Analysts and Testers,0.3467228158548382
4331,Engineers all other,Sales Engineers,0.39211122589104425
4339,Life scientists all other,Animal Scientists,0.3212147287554923
4344,Physical scientists all other,Physical Therapists,0.4632431824163994
4356,Miscellaneous life physical and social science technicians,Food Science Technicians,0.43216125105844466
4364,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
4369,Miscellaneous legal support workers,Paralegals and Legal Assistants,0.35858257478176275
4379,Teacher assistants,Medical Assistants,0.34343876984154315
4380,Other education training and library workers,Library Technicians,0.44978704971725136
4381,Artists and related workers,Craft Artists,0.4313291677916558
4385,Athletes coaches umpires and related workers,Coaches and Scouts,0.37496353109746194
4388,Announcers,Broadcast Announcers and Radio Disc Jockeys,0.4546294286709297
4394,Miscellaneous media and communication workers,Media Technical Directors/Managers,0.3138030303635681
4403,Physicians and surgeons,"Physicians, Pathologists",0.4530831751408542
4419,Health diagnosing and treating practitioners all other,Nurse Practitioners,0.34181459686298626
4422,Diagnostic related technologists and technicians,Veterinary Technologists and Technicians,0.428687467335048
4423,Emergency medical technicians and paramedics,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.4818217635081018
4424,Health practitioner support technologists and technicians,Veterinary Technologists and Technicians,0.3678727810894935
4426,Medical records and health information technicians,Medical and Health Services Managers,0.4304301856020409
4428,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
4442,Firstline supervisors of fire fighting and prevention workers,Fire-Prevention and Protection Engineers,0.45118502655288695
4443,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
4464,Counter attendants cafeteria food concession and coffee shop,Fast Food and Counter Workers,0.3549317596188084
4476,Grounds maintenance workers,"Maintenance Workers, Machinery",0.43089861008280533
4477,Firstline supervisors of gaming workers,First-Line Supervisors of Personal Service Workers,0.33832739928403077
4481,Gaming services workers,Administrative Services Managers,0.4063889046906599
4496,Firstline supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
4505,Sales representatives services all other,Solar Sales Representatives and Assessors,0.4266971964127923
4512,Sales and related workers all other,Sales Managers,0.39624120503679106
4516,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
4524,Financial clerks all other,Financial Managers,0.49231840009766253
4541,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
4594,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
4627,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
4637,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
4651,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
4657,Food processing workers all other,Food Preparation Workers,0.3955368367522605
4681,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
4705,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
4729,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
4730,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
4736,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
4755,Mine shuttle car operators,Rail Car Repairers,0.3463624816612242
4757,Material moving workers all other,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.44346289082667845
4778,Gaming managers,Sales Managers,0.3392873923474356
4782,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
4786,Managers all other,Sales Managers,0.3696097589298694
4802,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
4814,Financial specialists all other,Financial Managers,0.4781371863912042
4819,Software developers applications and systems software,Software Quality Assurance Analysts and Testers,0.3467228158548382
4846,Engineers all other,Sales Engineers,0.39211122589104425
4854,Life scientists all other,Animal Scientists,0.3212147287554923
4859,Physical scientists all other,Physical Therapists,0.4632431824163994
4871,Miscellaneous life physical and social science technicians,Food Science Technicians,0.43216125105844466
4879,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
4884,Miscellaneous legal support workers,Paralegals and Legal Assistants,0.35858257478176275
4894,Teacher assistants,Medical Assistants,0.34343876984154315
4895,Other education training and library workers,Library Technicians,0.44978704971725136
4896,Artists and related workers,Craft Artists,0.4313291677916558
4900,Athletes coaches umpires and related workers,Coaches and Scouts,0.37496353109746194
4903,Announcers,Broadcast Announcers and Radio Disc Jockeys,0.4546294286709297
4909,Miscellaneous media and communication workers,Media Technical Directors/Managers,0.3138030303635681
4918,Physicians and surgeons,"Physicians, Pathologists",0.4530831751408542
4934,Health diagnosing and treating practitioners all other,Nurse Practitioners,0.34181459686298626
4937,Diagnostic related technologists and technicians,Veterinary Technologists and Technicians,0.428687467335048
4938,Emergency medical technicians and paramedics,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.4818217635081018
4939,Health practitioner support technologists and technicians,Veterinary Technologists and Technicians,0.3678727810894935
4941,Medical records and health information technicians,Medical and Health Services Managers,0.4304301856020409
4943,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
4957,Firstline supervisors of fire fighting and prevention workers,Fire-Prevention and Protection Engineers,0.45118502655288695
4958,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
4979,Counter attendants cafeteria food concession and coffee shop,Fast Food and Counter Workers,0.3549317596188084
4991,Grounds maintenance workers,"Maintenance Workers, Machinery",0.43089861008280533
4992,Firstline supervisors of gaming workers,First-Line Supervisors of Personal Service Workers,0.33832739928403077
4996,Gaming services workers,Administrative Services Managers,0.4063889046906599
5011,Firstline supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
5020,Sales representatives services all other,Solar Sales Representatives and Assessors,0.4266971964127923
5027,Sales and related workers all other,Sales Managers,0.39624120503679106
5031,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
5039,Financial clerks all other,Financial Managers,0.49231840009766253
5056,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
5109,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
5142,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
5152,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
5166,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
5172,Food processing workers all other,Food Preparation Workers,0.3955368367522605
5196,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
5220,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
5244,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
5245,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
5251,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
